其他,#genre#
廣東衛視,https://yydsxll.serv00.net/Smartv.php?id=guangdongweishi_twn
廣東珠江,https://yydsxll.serv00.net/Smartv.php?id=zhujiang
廣西衛視,https://yydsxll.serv00.net/Smartv.php?id=guangxi
鳳凰衛視,https://yydsxll.serv00.net/Smartv.php?id=phoenixtv_hd
東方衛視,https://yydsxll.serv00.net/Smartv.php?id=dongfangweishi_twn
鳳凰資訊,https://yydsxll.serv00.net/Smartv.php?id=phoenixinfo_hd
Supersports 1,https://yydsxll.serv00.net/Smartv.php?id=Assp1
Supersports 1(備用),https://yydsxll.serv00.net/Smartv.php?id=go_assp1
Supersportq 1(備用2),https://yydsxll.serv00.net/Smartv.php?id=Assp1_mega
Supersports 2,https://yydsxll.serv00.net/Smartv.php?id=Assp2
Supersports 2(備用),https://yydsxll.serv00.net/Smartv.php?id=go_assp2
Supersports 3,https://yydsxll.serv00.net/Smartv.php?id=Assp3
Supersports 3(備用),https://yydsxll.serv00.net/Smartv.php?id=go_assp3
Supersports 3(備用2),https://yydsxll.serv00.net/Smartv.php?id=Assp3_mega
Supersports 4,https://yydsxll.serv00.net/Smartv.php?id=Assp4_mega
Supersports 4(備用),https://yydsxll.serv00.net/Smartv.php?id=go_assp4
Supersports 5,https://yydsxll.serv00.net/Smartv.php?id=go_assp5
Bein 2HD,https://yydsxll.serv00.net/Smartv.php?id=Beinhd
Beinsports HD,https://yydsxll.serv00.net/Smartv.php?id=Besports
Champion 5 EPL,https://yydsxll.serv00.net/Smartv.php?id=Champion5epl
WWE,https://yydsxll.serv00.net/Smartv.php?id=Wwe
Champion 6 EPL,https://yydsxll.serv00.net/Smartv.php?id=Champion6epl
Fight Sports,https://yydsxll.serv00.net/Smartv.php?id=Fs
UFC Network,https://yydsxll.serv00.net/Smartv.php?id=ufc_mega
NBA TV,https://yydsxll.serv00.net/Smartv.php?id=nbatv_twn
TNT Sports 1,https://yydsxll.serv00.net/Smartv.php?id=beeone
TNT Sports 2,https://yydsxll.serv00.net/Smartv.php?id=beetwo
TNT Sports 3,https://yydsxll.serv00.net/Smartv.php?id=beethree
TNT Sports 4,https://yydsxll.serv00.net/Smartv.php?id=beefour
